source	target	weight
c_h,ts`h	e_i,e_:\i	3.846154e-02
c_h,ts`h	a_n,a_:n	3.846154e-02
c_h,ts`h	u,u	3.846154e-02
c_h,ts`h	o,U	3.846154e-02
c_h,ts`h	e,@	3.846154e-02
c_h,ts`h	v,y	3.846154e-02
c_h,ts`h	u_n,u@_:n	3.846154e-02
c_h,ts`h	u_a,ua	1.153846e-01
c_h,ts`h	u_a,uA	3.846154e-02
c_h,ts`h	u_e,yE	3.846154e-02
w_a,w_uA	n_g,N	1.000000e+00
o,o	#	1.000000e+00
n_a,n_a	#	1.000000e+00
r_e,z`_@	n_g,N	1.000000e+00
j,ts\	u_i,ue_:\i	6.250000e-02
j,ts\	i_o,iAU	6.250000e-02
j,ts\	u_a,ua	1.250000e-01
j,ts\	u_a,uA	6.250000e-02
j,ts\	i_n,i_:n	6.250000e-02
j,ts\	u_n,yE_:n	6.250000e-02
j,ts\	i_e,ie	6.250000e-02
j,ts\	y_u,y	6.250000e-02
j,ts\	i_u,i@U	6.250000e-02
j,ts\	v_e,yE	6.250000e-02
j,ts\	i_a,iA	6.250000e-02
j,ts\	u_e,yE	6.250000e-02
j,ts\	i_a,ia	6.250000e-02
j,ts\	i_o,iU	6.250000e-02
j,ts\	u_o,uo	6.250000e-02
k_e,kh_@	n_g,N	1.000000e+00
b_a,p_a	#	1.000000e+00
i,j_i	n_g,N	5.000000e-01
i,j_i	n,:n	5.000000e-01
y_i,j_i	n_g,N	1.000000e+00
u_n,u@_:n	#	1.000000e+00
f_e,f_@	n_g,N	1.000000e+00
u_a,uA	n_g,N	1.000000e+00
c_e,tsh_@	n_g,N	1.000000e+00
y_u,y	#	1.000000e+00
c,tsh	a_i,a_:\i	5.882353e-02
c,tsh	y_u,y	5.882353e-02
c,tsh	u_i,ue_:\i	5.882353e-02
c,tsh	a_n,a_:n	5.882353e-02
c,tsh	u_e,yE	5.882353e-02
c,tsh	u_a,uA	5.882353e-02
c,tsh	u_n,u@_:n	5.882353e-02
c,tsh	o_u,@U	5.882353e-02
c,tsh	e_i,e_:\i	5.882353e-02
c,tsh	v_e,yE	5.882353e-02
c,tsh	e_n,@_:n	5.882353e-02
c,tsh	u_o,uo	5.882353e-02
c,tsh	i_o,iU	5.882353e-02
c,tsh	u_a,ua	1.764706e-01
c,tsh	a_o,AU	5.882353e-02
i_a,j_iA	n_g,N	1.000000e+00
z_e,ts_7	#	1.000000e+00
f,f	u_i,ue_:\i	4.347826e-02
f,f	i_o,iU	4.347826e-02
f,f	u_o,uo	4.347826e-02
f,f	i_n,i_:n	4.347826e-02
f,f	i_u,i@U	4.347826e-02
f,f	u_e,yE	4.347826e-02
f,f	i_a,ia	4.347826e-02
f,f	a_i,a_:\i	4.347826e-02
f,f	u_a,ua	1.304348e-01
f,f	a_o,AU	4.347826e-02
f,f	i_o,iAU	4.347826e-02
f,f	a_n,a_:n	4.347826e-02
f,f	u_n,u@_:n	4.347826e-02
f,f	u_a,uA	4.347826e-02
f,f	y_u,y	4.347826e-02
f,f	i_e,ie	4.347826e-02
f,f	v_e,yE	4.347826e-02
f,f	i_a,iA	4.347826e-02
f,f	e_n,@_:n	4.347826e-02
f,f	o_u,@U	4.347826e-02
f,f	e_i,e_:\i	4.347826e-02
i_o,iAU	#	1.000000e+00
i_u,i@U	#	1.000000e+00
l_a,l_a	#	1.000000e+00
u,u	#	1.000000e+00
b_v,p_y	#	1.000000e+00
w_o,w_U	n_g,N	1.000000e+00
g_o,k_U	n_g,N	1.000000e+00
x_i,s\_i	n_g,N	5.000000e-01
x_i,s\_i	#	5.000000e-01
k_i,kh_i	n_g,N	5.000000e-01
k_i,kh_i	#	5.000000e-01
m_i,m	a_o,iAU	3.333333e-01
m_i,m	a_i,ia_:\i	3.333333e-01
m_i,m	a_n,iE_:n	3.333333e-01
k_o,kh_U	n_g,N	1.000000e+00
n,n	u_i,ue_:\i	4.347826e-02
n,n	u_o,uo	4.347826e-02
n,n	i_o,iU	4.347826e-02
n,n	u_n,u@_:n	4.347826e-02
n,n	u_a,uA	4.347826e-02
n,n	a_n,a_:n	4.347826e-02
n,n	i_o,iAU	4.347826e-02
n,n	a_o,AU	4.347826e-02
n,n	u_a,ua	1.304348e-01
n,n	i_n,i_:n	4.347826e-02
n,n	y_u,y	4.347826e-02
n,n	i_e,ie	4.347826e-02
n,n	i_u,i@U	4.347826e-02
n,n	v_e,yE	4.347826e-02
n,n	i_a,iA	4.347826e-02
n,n	e_n,@_:n	4.347826e-02
n,n	u_e,yE	4.347826e-02
n,n	i_a,ia	4.347826e-02
n,n	o_u,@U	4.347826e-02
n,n	e_i,e_:\i	4.347826e-02
n,n	a_i,a_:\i	4.347826e-02
g_i,k	a_o,iAU	3.333333e-01
g_i,k	a_n,iE_:n	3.333333e-01
g_i,k	a_i,ia_:\i	3.333333e-01
z_v,ts_y	#	1.000000e+00
k_o,kh_o	#	1.000000e+00
u_e,yE	#	1.000000e+00
i_e,ie	#	1.000000e+00
i_a,ia	#	1.000000e+00
t_a,th_a	#	1.000000e+00
t_o,th_U	n_g,N	1.000000e+00
g_e,k_@	n_g,N	1.000000e+00
n_o,n_U	n_g,N	1.000000e+00
t_i,th	a_n,iE_:n	3.333333e-01
t_i,th	a_i,ia_:\i	3.333333e-01
t_i,th	a_o,iAU	3.333333e-01
p_i,ph_i	#	5.000000e-01
p_i,ph_i	n_g,N	5.000000e-01
q,ts\h	u_a,uA	6.250000e-02
q,ts\h	i_o,iAU	6.250000e-02
q,ts\h	u_i,ue_:\i	6.250000e-02
q,ts\h	i_n,i_:n	6.250000e-02
q,ts\h	u_a,ua	1.250000e-01
q,ts\h	i_u,i@U	6.250000e-02
q,ts\h	v_e,yE	6.250000e-02
q,ts\h	i_a,iA	6.250000e-02
q,ts\h	u_n,yE_:n	6.250000e-02
q,ts\h	y_u,y	6.250000e-02
q,ts\h	i_e,ie	6.250000e-02
q,ts\h	i_a,ia	6.250000e-02
q,ts\h	u_e,yE	6.250000e-02
q,ts\h	u_o,uo	6.250000e-02
q,ts\h	i_o,iU	6.250000e-02
m,m	i_o,iU	4.347826e-02
m,m	u_o,uo	4.347826e-02
m,m	i_u,i@U	4.347826e-02
m,m	u_i,ue_:\i	4.347826e-02
m,m	u_a,uA	4.347826e-02
m,m	u_n,u@_:n	4.347826e-02
m,m	i_n,i_:n	4.347826e-02
m,m	u_e,yE	4.347826e-02
m,m	i_a,ia	4.347826e-02
m,m	e_i,e_:\i	4.347826e-02
m,m	o_u,@U	4.347826e-02
m,m	y_u,y	4.347826e-02
m,m	i_e,ie	4.347826e-02
m,m	a_o,AU	4.347826e-02
m,m	u_a,ua	1.304348e-01
