source	target	weight
p_p,cl_py	y_i,i	2.000000e-01
p_p,cl_py	y_a,a	2.000000e-01
y_o,o	#	1.000000e+00
j_j,cl_j	i,i	1.000000e-01
j_j,cl_j	a,a	1.000000e-01
j_j,cl_j	y_i,i	1.000000e-01
j_j,cl_j	e,e	1.000000e-01
j_j,cl_j	y_o,o	1.000000e-01
j_j,cl_j	o,o	1.000000e-01
j_j,cl_j	y_e,e	1.000000e-01
j_j,cl_j	y_u,u	1.000000e-01
j_j,cl_j	y_a,a	1.000000e-01
j_j,cl_j	u,u	1.000000e-01
h_y,hy	o,o	2.000000e-01
h_y,hy	a,a	2.000000e-01
h_y,hy	u,u	2.000000e-01
h_y,hy	i,i	2.000000e-01
h_y,hy	e,e	2.000000e-01
y_u,u	#	1.000000e+00
n_y,ny	o,o	2.000000e-01
n_y,ny	e,e	2.000000e-01
n_y,ny	u,u	2.000000e-01
n_y,ny	i,i	2.000000e-01
n_y,ny	a,a	2.000000e-01
b_b,cl_by	y_i,i	2.000000e-01
b_b,cl_by	y_u,u	2.000000e-01
b_b,cl_by	y_o,o	2.000000e-01
b_b,cl_by	y_e,e	2.000000e-01
b_b,cl_by	y_a,a	2.000000e-01
j_a,j_a	#	1.000000e+00
n_u,n_u	#	1.000000e+00
s_h,sh	a,a	2.000000e-01
s_h,sh	u,u	2.000000e-01
s_h,sh	i,i	2.000000e-01
s_h,sh	o,o	2.000000e-01
s_h,sh	e,e	2.000000e-01
p_u,p_u	#	1.000000e+00
i,i	#	1.000000e+00
e,e	#	1.000000e+00
d_e,d_e	#	1.000000e+00
s_a,s_a	#	1.000000e+00
n_n,cl_n	e,e	2.000000e-01
n_n,cl_n	o,o	2.000000e-01
n_n,cl_n	a,a	2.000000e-01
n_n,cl_n	i,i	2.000000e-01
n_n,cl_n	u,u	2.000000e-01
h_o,h_o	#	1.000000e+00
s_a,ts_a	#	1.000000e+00
b_o,b_o	#	1.000000e+00
y_o,y_o	#	1.000000e+00
p_a,p_a	#	1.000000e+00
z_e,z_e	#	1.000000e+00
v_v,cl_b	a,a	2.000000e-01
v_v,cl_b	u,u	2.000000e-01
v_v,cl_b	i,i	2.000000e-01
v_v,cl_b	o,o	2.000000e-01
v_v,cl_b	e,e	2.000000e-01
a,a	#	1.000000e+00
m_e,m_e	#	1.000000e+00
b_y,by	o,o	2.000000e-01
b_y,by	u,u	2.000000e-01
b_y,by	a,a	2.000000e-01
b_y,by	i,i	2.000000e-01
b_y,by	e,e	2.000000e-01
j_e,j_e	#	1.000000e+00
b_u,b_u	#	1.000000e+00
j_y,j	i,i	2.000000e-01
j_y,j	o,o	2.000000e-01
j_y,j	e,e	2.000000e-01
j_y,j	u,u	2.000000e-01
j_y,j	a,a	2.000000e-01
t_t,cl_t	o,o	2.000000e-01
t_t,cl_t	u,u	2.000000e-01
t_t,cl_t	a,a	2.000000e-01
t_t,cl_t	i,i	2.000000e-01
t_t,cl_t	e,e	2.000000e-01
b_a,b_a	#	1.000000e+00
j_u,j_u	#	1.000000e+00
r_a,r_a	#	1.000000e+00
b_b,cl_b	e,e	2.000000e-01
b_b,cl_b	u,u	2.000000e-01
b_b,cl_b	a,a	2.000000e-01
b_b,cl_b	i,i	2.000000e-01
b_b,cl_b	o,o	2.000000e-01
f_f,cl_f	e,e	2.000000e-01
f_f,cl_f	o,o	2.000000e-01
f_f,cl_f	i,i	2.000000e-01
f_f,cl_f	a,a	2.000000e-01
f_f,cl_f	u,u	2.000000e-01
g_a,g_a	#	1.000000e+00
h_o,o	#	1.000000e+00
g_e,g_e	#	1.000000e+00
y_e,y_e	#	1.000000e+00
f_i,f_i	#	1.000000e+00
t_t,cl_ty	y_i,i	2.000000e-01
t_t,cl_ty	y_e,e	2.000000e-01
t_t,cl_ty	y_o,o	2.000000e-01
t_t,cl_ty	y_u,u	2.000000e-01
t_t,cl_ty	y_a,a	2.000000e-01
g_u,g_u	#	1.000000e+00
t_y,ty	i,i	2.000000e-01
t_y,ty	a,a	2.000000e-01
t_y,ty	u,u	2.000000e-01
t_y,ty	o,o	2.000000e-01
t_y,ty	e,e	2.000000e-01
v_u,v_u	#	1.000000e+00
y_i,y_i	#	1.000000e+00
w_e,w_e	#	1.000000e+00
g_y,gy	i,i	2.000000e-01
g_y,gy	u,u	2.000000e-01
g_y,gy	a,a	2.000000e-01
g_y,gy	e,e	2.000000e-01
g_y,gy	o,o	2.000000e-01
y_e,e	#	1.000000e+00
l_i,r_i	#	1.000000e+00
c_c,cl_ch	h_i,i	2.000000e-01
c_c,cl_ch	h_e,e	2.000000e-01
c_c,cl_ch	h_u,u	2.000000e-01
c_c,cl_ch	h_o,o	2.000000e-01
c_c,cl_ch	h_a,a	2.000000e-01
m_o,m_o	#	1.000000e+00
z_o,z_o	#	1.000000e+00
h_e,e	#	1.000000e+00
t_s,ts	a,a	2.000000e-01
t_s,ts	e,e	2.000000e-01
t_s,ts	u,u	2.000000e-01
t_s,ts	i,i	2.000000e-01
t_s,ts	o,o	2.000000e-01
k_w,kw	i,i	2.000000e-01
k_w,kw	o,o	2.000000e-01
k_w,kw	a,a	2.000000e-01
k_w,kw	u,u	2.000000e-01
k_w,kw	e,e	2.000000e-01
s_u,s_u	#	1.000000e+00
n,N	#	1.000000e+00
y_a,y_a	#	1.000000e+00
k_k,cl_k	a,a	2.000000e-01
k_k,cl_k	u,u	2.000000e-01
k_k,cl_k	i,i	2.000000e-01
k_k,cl_k	e,e	2.000000e-01
k_k,cl_k	o,o	2.000000e-01
